cargo;empresa;cidade;nivel
Analista de Dados;Confidencial;Não informado;Pleno
Analista de Dados  Jr;Confidencial;Não informado;Júnior/Trainee
Analista de Dados Pleno;Fundação São Francisco Xavier;Não informado;Pleno
Analista de Dados Sênior;Grupo Nortearh;Não informado;Sênior
Analista de Dados (027180);Lyon Engenharia;Não informado;Pleno
Analista de Dados;Zubale;Não informado;Júnior/Trainee
Analista de Dados Júnior;Confidencial;Não informado;Júnior/Trainee
Analista de Dados e Bi -Sênior;J&T Express;Não informado;Sênior
Analista de Dados Bi Pl;J&T Express;Não informado;Pleno
Analista de Qualidade de Dados Pleno;J&T Express;Não informado;Júnior/Trainee
Analista Financeiro Sênior - Foco em Dados;ALLOS;Não informado;Sênior
Analista de Dados Saúde e Odonto - Jr;SulAmérica;Não informado;Júnior/Trainee
Analista de Operações Jr (automatização/Dados) - Temporário;SulAmérica;Não informado;Júnior/Trainee
Analista Sr - Qualidade (Gestão de Dados) - Corporativo RJ;Rede D'Or;Não informado;Sênior
Analista Sr - Privacidade e Proteção de Dados – Corporativo RJ;Rede D'Or;Não informado;Sênior
Analista de Dados / Bi - Especialista (VAGA Extensiva para Pessoas com Deficiência);Concremat;Não informado;Pleno
Analista de Remuneração;Frescatto;Não informado;Auxiliar/Operacional
Analista de Privacidade Senior;Confidencial;Não informado;Sênior
Analista Administrativo;Talento Incluir;Não informado;Júnior/Trainee
Analista Comercial Pl;Mineração Taboca S/A;Não informado;Pleno
Analista de Relacionamento;Confidencial;Não informado;Pleno
Analista de Produtos;CDL/BH;Não informado;Júnior/Trainee
Analista de Cobrança Júnior;Confidencial;Não informado;Júnior/Trainee
Analista de Logística - Júnior;J&T Express;Não informado;Júnior/Trainee
Analista Comercial Jr;Vetnil;Não informado;Júnior/Trainee
Analista de Marketing Sr.;JOBCENTER DO BRASIL LTDA;Não informado;Sênior
Analista Sr Bp;Randstad RH;Não informado;Pleno
Analista de TI;J&T Express;Não informado;Júnior/Trainee
Analista Fiscal Pleno;Confidencial;Não informado;Pleno
Analista Contábil Jr;FFM;Não informado;Júnior/Trainee
11195 - Analista de Implantação;Talent Group;Não informado;Pleno
Analista Admnistrativo I;Ânima;Não informado;Júnior/Trainee
Analista Contábil;ADECCO;Não informado;Pleno
Analista de Suporte Sr.;Confidencial;Não informado;Sênior
11194 - Analista de Implementação;Talent Group;Não informado;Pleno
Analista de Contabilidade Pl;Primetals Technologies;Não informado;Pleno
Analista de Manutenção;Grupo JCA;Não informado;Júnior/Trainee
Analista de Logistica;Transpedrosa;Não informado;Júnior/Trainee
Analista Vista Jr;Lyon Engenharia;Não informado;Júnior/Trainee
Analista Programador Pleno;Ciesp;Não informado;Pleno
