cargo;empresa;cidade;nivel;area;estado
Analista de Dados (027180);Lyon Engenharia;São Luís;Pleno;Analista De Dados;MA
Analista de Dados;Zubale;Não informado;Júnior/Trainee;Analista De Dados;
Analista de Dados  Jr;Confidencial;Betim;Júnior/Trainee;Analista De Dados;MG
Analista de Dados Pleno;Fundação São Francisco Xavier;Belo Horizonte;Pleno;Analista De Dados;MG
Analista de Dados Sênior;Grupo Nortearh;Belo Horizonte;Sênior;Analista De Dados;MG
Analista de Dados e Bi -Sênior;J&T Express;São João de Meriti;Sênior;Analista De Dados;RJ
Analista de Dados Bi Pl;J&T Express;Serra;Pleno;Analista De Dados;ES
Analista de Qualidade de Dados Pleno;J&T Express;Guarulhos;Júnior/Trainee;Analista De Dados;SP
Analista de Dados Saúde e Odonto - Jr;SulAmérica;São Paulo;Júnior/Trainee;Analista De Dados;SP
Analista Financeiro Sênior - Foco em Dados;ALLOS;Rio de Janeiro;Sênior;Analista De Dados;RJ
Analista de Dados Jr | Grupo Fasano;Hospitalidade e Gastronomia;São Paulo;Júnior/Trainee;Analista De Dados;SP
Analista de Operações Jr (automatização/Dados) - Temporário;SulAmérica;São Paulo;Júnior/Trainee;Analista De Dados;SP
Pessoa Analista Infraestrutura / Função DBA Oracle - Sênior  -  Tecnologia da Informação;Grupo Águas do Brasil;Niterói;Sênior;Analista De Dados;RJ
Analista Sr - Qualidade (Gestão de Dados) - Corporativo RJ;Rede D'Or;Rio de Janeiro;Sênior;Analista De Dados;RJ
Analista Sr - Privacidade e Proteção de Dados – Corporativo RJ;Rede D'Or;Rio de Janeiro;Sênior;Analista De Dados;RJ
Analista de RH Pl (Dados) - Regional Zona Sul/RJ;Rede D'Or;Rio de Janeiro;Pleno;Analista De Dados;RJ
Analista de Dados / Bi - Especialista (VAGA Extensiva para Pessoas com Deficiência);Concremat;Nova Lima;Pleno;Analista De Dados;MG
Analista de Remuneração;Frescatto;Duque de Caxias;Auxiliar/Operacional;Analista De Dados;RJ
Analista de Privacidade Senior;Confidencial;São Paulo;Sênior;Analista De Dados;SP
Analista Administrativo;Talento Incluir;São Paulo;Júnior/Trainee;Analista De Dados;SP
Analista Comercial Pl;Mineração Taboca S/A;Barueri;Pleno;Analista De Dados;SP
Analista de Compras Jr;Centro Médico Pastore;Rio de Janeiro;Auxiliar/Operacional;Analista De Dados;RJ
Analista de Relacionamento;Confidencial;Localização não informada;Pleno;Analista De Dados;
Analista de Produtos;CDL/BH;Belo Horizonte;Júnior/Trainee;Analista De Dados;MG
Analista de Cobrança Júnior;Confidencial;São Paulo;Júnior/Trainee;Analista De Dados;SP
Analista de Inflamabilidade;Alliança Recursos Humanos;Localização não informada;Júnior/Trainee;Analista De Dados;
Analista de PCP;Grupo Nortearh;Sete Lagoas;Pleno;Analista De Dados;MG
Analista de Logística - Júnior;J&T Express;São João de Meriti;Júnior/Trainee;Analista De Dados;RJ
Analista Comercial Jr;Vetnil;Louveira;Júnior/Trainee;Analista De Dados;SP
Analista Laboratorio I;bp bioenergy;Pedro Afonso;Auxiliar/Operacional;Analista De Dados;TO
Analista de Marketing Sr.;JOBCENTER DO BRASIL LTDA;São Bernardo do Campo;Sênior;Analista De Dados;SP
Analista Sr Bp;Randstad RH;Araucária;Pleno;Analista De Dados;PR
Analista de TI;J&T Express;Salvador;Júnior/Trainee;Analista De Dados;BA
Analista Fiscal Pleno;Confidencial;Belo Horizonte;Pleno;Analista De Dados;MG
11195 - Analista de Implantação;Talent Group;São Paulo;Pleno;Analista De Dados;SP
Analista Admnistrativo I;Ânima;Não informado;Júnior/Trainee;Analista De Dados;
Analista Contábil;ADECCO;Manaus;Pleno;Analista De Dados;AM
Analista de Suporte Sr.;Confidencial;Santa Bárbara d'Oeste;Sênior;Analista De Dados;SP
Analista de Contabilidade Pl;Primetals Technologies;Belo Horizonte;Pleno;Analista De Dados;MG
Analista Financeiro Pl;UNIÃO QUÍMICA;Guarulhos;Pleno;Analista De Dados;SP
Engenheiro de Software;Confidential;Localização não informada;Sênior;Engenheiro De Software;
Engenheiro(a) de Software | Júnior, Pleno, Sênior e Especialista;XP Inc.;São Paulo;Sênior;Engenheiro De Software;SP
Engenheiro de Automação;Confidential;Limeira;Sênior;Engenheiro De Software;SP
Engenheiro de Orçamentos Jr;Concremat;São Paulo;Júnior/Trainee;Engenheiro De Software;SP
Técnico de Engenharia Clinica - Engenharia Clinica - Rio Barra;Rede D'Or;Rio de Janeiro;Técnico;Engenheiro De Software;RJ
Técnico de Engenharia Clinica - Engenharia Clinica - Copa Dor;Rede D'Or;Rio de Janeiro;Técnico;Engenheiro De Software;RJ
Técnico em Engenharia Clínica - Engenharia Clínica - Hospital Brasil;Rede D'Or;Santo André;Técnico;Engenheiro De Software;SP
Tecnico de Engenharia Clinica - Engenharia Clinica - Jutta Batista;Rede D'Or;Rio de Janeiro;Auxiliar/Operacional;Engenheiro De Software;RJ
Técnico de Engenharia Clínica - Engenharia Clínica - Esperança Recife;Rede D'Or;Recife;Técnico;Engenheiro De Software;PE
Professor de Engenharia de Computação;Fundação Salvador Arena;São Bernardo do Campo;Sênior;Engenheiro De Software;SP
Engenheiro de Machine Learning;FF.Connection;Hortolândia;Sênior;Engenheiro De Software;SP
Técnico(a) em Engenharia Clínica - Engenharia Clínica - Hospitais Rede D'Or;Rede D'Or;Brasília;Técnico;Engenheiro De Software;DF
Engenheiro Civil Trainee;Concremat;São Paulo;Júnior/Trainee;Engenheiro De Software;SP
Técnico em Engenharia Clínica - Engenharia Clínica - Hospital Brasil Mauá;Rede D'Or;Mauá;Técnico;Engenheiro De Software;SP
Técnico Engenharia Clínica - Engenharia Clínica - Sl Anália Franco;Rede D'Or;São Paulo;Auxiliar/Operacional;Engenheiro De Software;SP
Técnico(a) em Engenharia Clínica - Engenharia Clínica - Hospital DF Star (Expansão);Rede D'Or;Brasília;Técnico;Engenheiro De Software;DF
Engenheiro de Inteligência Artificial (Ia);EDITORA GLOBO;São Paulo;Sênior;Engenheiro De Software;SP
Analista Sr - Engenharia e Manutenção - Corporativo RJ;Rede D'Or;Rio de Janeiro;Sênior;Engenheiro De Software;RJ
Analista Sr - Engenharia e Manutenção - Corporativo SP;Rede D'Or;São Paulo;Sênior;Engenheiro De Software;SP
Estagiário(a) de Engenharia Química - Barra da Tijuca/RJ;White Martins;Rio de Janeiro;Estágio;Engenheiro De Software;RJ
Engenheiro de Projetos (VAGA Extensiva para Pessoas);Concremat;Vitória;Pleno;Engenheiro De Software;ES
Bolsista Doutor Engenharias – Projeto Inova Talentos / Marelli;Marelli Sistemas Automotivos;Lavras;Júnior/Trainee;Engenheiro De Software;MG
Engenheiro de Pavimentação (VAGA Extensiva para Pessoas com Deficiência);Concremat;São Paulo;Pleno;Engenheiro De Software;SP
Líder de Engenharia Clínica  - Manutenção Predial  - Hospital Yutaka Takeda.;Rede D'Or;Parauapebas;Auxiliar/Operacional;Engenheiro De Software;PA
Engenheiro Técnico de Projeto (VAGA Extensiva para Pessoa Deficiência);Concremat;Barão de Cocais;Pleno;Engenheiro De Software;MG
