cargo;empresa;cidade;nivel;area
Analista de Dados (027180);Lyon Engenharia;São Luís / MA;Pleno;analista-de-dados
Analista de Dados;Zubale;Não informado;Júnior/Trainee;analista-de-dados
Analista de Dados  Jr;Confidencial;Betim / MG;Júnior/Trainee;analista-de-dados
Analista de Dados Pleno;Fundação São Francisco Xavier;Belo Horizonte / MG;Pleno;analista-de-dados
Analista de Dados Sênior;Grupo Nortearh;Belo Horizonte / MG;Sênior;analista-de-dados
Analista de Dados e Bi -Sênior;J&T Express;São João de Meriti / RJ;Sênior;analista-de-dados
Analista de Dados Bi Pl;J&T Express;Serra / ES;Pleno;analista-de-dados
Analista de Qualidade de Dados Pleno;J&T Express;Guarulhos / SP;Júnior/Trainee;analista-de-dados
Analista de Dados Saúde e Odonto - Jr;SulAmérica;São Paulo / SP;Júnior/Trainee;analista-de-dados
Analista Financeiro Sênior - Foco em Dados;ALLOS;Rio de Janeiro / RJ;Sênior;analista-de-dados
Analista de Dados Jr | Grupo Fasano;Hospitalidade e Gastronomia;São Paulo / SP;Júnior/Trainee;analista-de-dados
Analista de Operações Jr (automatização/Dados) - Temporário;SulAmérica;São Paulo / SP;Júnior/Trainee;analista-de-dados
Pessoa Analista Infraestrutura / Função DBA Oracle - Sênior  -  Tecnologia da Informação;Grupo Águas do Brasil;Niterói / RJ;Sênior;analista-de-dados
Analista Sr - Qualidade (Gestão de Dados) - Corporativo RJ;Rede D'Or;Rio de Janeiro / RJ;Sênior;analista-de-dados
Analista Sr - Privacidade e Proteção de Dados – Corporativo RJ;Rede D'Or;Rio de Janeiro / RJ;Sênior;analista-de-dados
Analista de RH Pl (Dados) - Regional Zona Sul/RJ;Rede D'Or;Rio de Janeiro / RJ;Pleno;analista-de-dados
Analista de Dados / Bi - Especialista (VAGA Extensiva para Pessoas com Deficiência);Concremat;Nova Lima / MG;Pleno;analista-de-dados
Analista de Remuneração;Frescatto;Duque de Caxias / RJ;Auxiliar/Operacional;analista-de-dados
Analista de Privacidade Senior;Confidencial;São Paulo / SP;Sênior;analista-de-dados
Analista Administrativo;Talento Incluir;São Paulo / SP;Júnior/Trainee;analista-de-dados
Analista Comercial Pl;Mineração Taboca S/A;Barueri / SP;Pleno;analista-de-dados
Analista de Compras Jr;Centro Médico Pastore;Rio de Janeiro / RJ;Auxiliar/Operacional;analista-de-dados
Analista de Relacionamento;Confidencial;Localização não informada;Pleno;analista-de-dados
Analista de Produtos;CDL/BH;Belo Horizonte / MG;Júnior/Trainee;analista-de-dados
Analista de Cobrança Júnior;Confidencial;São Paulo / SP;Júnior/Trainee;analista-de-dados
Analista de Inflamabilidade;Alliança Recursos Humanos;Localização não informada;Júnior/Trainee;analista-de-dados
Analista de PCP;Grupo Nortearh;Sete Lagoas / MG;Pleno;analista-de-dados
Analista de Logística - Júnior;J&T Express;São João de Meriti / RJ;Júnior/Trainee;analista-de-dados
Analista Comercial Jr;Vetnil;Louveira / SP;Júnior/Trainee;analista-de-dados
Analista Laboratorio I;bp bioenergy;Pedro Afonso / TO;Auxiliar/Operacional;analista-de-dados
Analista de Marketing Sr.;JOBCENTER DO BRASIL LTDA;São Bernardo do Campo / SP;Sênior;analista-de-dados
Analista Sr Bp;Randstad RH;Araucária / PR;Pleno;analista-de-dados
Analista de TI;J&T Express;Salvador / BA;Júnior/Trainee;analista-de-dados
Analista Fiscal Pleno;Confidencial;Belo Horizonte / MG;Pleno;analista-de-dados
11195 - Analista de Implantação;Talent Group;São Paulo / SP;Pleno;analista-de-dados
Analista Admnistrativo I;Ânima;Não informado;Júnior/Trainee;analista-de-dados
Analista Contábil;ADECCO;Manaus / AM;Pleno;analista-de-dados
Analista de Suporte Sr.;Confidencial;Santa Bárbara d'Oeste / SP;Sênior;analista-de-dados
Analista de Contabilidade Pl;Primetals Technologies;Belo Horizonte / MG;Pleno;analista-de-dados
Analista Financeiro Pl;UNIÃO QUÍMICA;Guarulhos / SP;Pleno;analista-de-dados
Engenheiro de Software;Confidential;Localização não informada;Sênior;engenheiro-de-software
Engenheiro(a) de Software | Júnior, Pleno, Sênior e Especialista;XP Inc.;São Paulo / SP;Sênior;engenheiro-de-software
Engenheiro de Automação;Confidential;Limeira / SP;Sênior;engenheiro-de-software
Engenheiro de Orçamentos Jr;Concremat;São Paulo / SP;Júnior/Trainee;engenheiro-de-software
Técnico de Engenharia Clinica - Engenharia Clinica - Rio Barra;Rede D'Or;Rio de Janeiro / RJ;Técnico;engenheiro-de-software
Técnico de Engenharia Clinica - Engenharia Clinica - Copa Dor;Rede D'Or;Rio de Janeiro / RJ;Técnico;engenheiro-de-software
Técnico em Engenharia Clínica - Engenharia Clínica - Hospital Brasil;Rede D'Or;Santo André / SP;Técnico;engenheiro-de-software
Tecnico de Engenharia Clinica - Engenharia Clinica - Jutta Batista;Rede D'Or;Rio de Janeiro / RJ;Auxiliar/Operacional;engenheiro-de-software
